Country,Life Expectancy (All),Life Expectancy (Men),Life Expectancy (Women)
Ливия,71.1,69.6,72.7
Камбоджа,70.8,68.1,73.4
Соломо­новы Острова,70.7,69.4,72.2
Непал,70.6,69.1,72.1
Гайана,70.3,66.6,74.1
Туркмени­стан,70.2,67.0,73.0
Грен­ландия,70.2,68.2,72.6
Ниуэ,70.1,67.5,72.9
Филип­пины,69.9,67.0,73.0
Сан-Томе и Принсипи,69.9,66.4,73.9
Йемен,69.4,67.4,71.5
Палау,69.4,67.3,71.9
Ботсвана,69.3,66.8,71.9
Лаос,69.2,67.0,71.5
Палестина,69.2,65.2,74.3
Сенегал,68.9,67.0,71.0
Эритрея,68.9,66.8,70.9
Боливия,68.7,66.3,71.3
Маври­тания,68.7,66.7,70.7
Габон,68.5,66.1,71.2
Уганда,68.5,65.5,71.4
Руанда,68.0,65.7,70.1
Тимор-Лешти,67.9,66.3,69.7
Пакистан,67.8,65.5,70.3
Эфиопия,67.6,64.4,71.0
Малави,67.6,64.3,70.8
Намибия,67.5,63.5,71.5
Фиджи,67.5,65.5,69.5
Микро­незия,67.4,63.6,71.3
Тувалу,67.3,63.9,70.9
Танзания,67.2,64.4,70.0
Мьянма,67.1,64.0,70.4
Маршал­ловы Острова,67.1,65.0,69.5
Комор­ские Острова,67.0,65.0,69.2
Кирибати,66.6,64.7,68.3
Замбия,66.5,64.1,68.9
Судан,66.5,63.4,69.8
Южная Африка,66.3,62.8,69.8
Афгани­стан,66.3,64.7,67.8
Папуа — Новая Гвинея,66.3,63.8,69.2
Джибути,66.2,63.7,68.7
Гамбия,66.1,64.4,67.8
Конго,66.0,64.3,67.7
Гана,65.7,63.3,68.2
Гаити,65.1,61.9,68.5
Ангола,64.8,62.3,67.3
Свази­ленд,64.3,61.3,67.1
Гвинея-Бисау,64.3,61.8,66.5
Камерун,64.0,61.8,66.2
Экватори­альная Гвинея,63.9,62.2,65.9
Мада­гаскар,63.8,62.1,65.6
Кения,63.8,61.6,66.1
Бурунди,63.8,61.8,65.9
Мозамбик,63.8,60.5,66.7
Зимбабве,63.1,60.5,65.3
Того,62.9,62.7,63.2
Либерия,62.3,61.0,63.6
Науру,62.3,60.4,64.2
Кот-д’Ивуар,62.1,60.2,64.3
Демо­крати­ческая Респу­блика Конго,62.1,60.0,64.2
Сьерра-Леоне,62.0,60.2,63.7
Нигер,61.4,60.5,62.4
Буркина Фасо,61.3,59.1,63.4
Бенин,61.0,59.5,62.4
Гвинея,60.9,59.7,62.1
Мали,60.7,59.3,62.2
Сомали,59.0,56.5,61.6
Лесото,57.8,55.0,60.4
Южный Судан,57.7,54.8,60.7
Цент­рально-Афри­кан­ская Респуб­лика,57.7,55.5,59.6
Чад,55.2,53.4,57.2
Нигерия,54.6,54.3,54.9
