Страна,Площадь,Площадь (мили),Площадь суши (км2),ActualSizeOfCountriesTotalWaterkm,ActualSizeOfCountriesTotalWater,Процент воды в территории,Население,Продолжительность жизни (все),Продолжительность жизни (мужчины),Продолжительность жизни (женщины),ИЧР,"ВВП (номинальный, 2024, млрд $)"
Камерун,475442.0,475442.0,472710.0,2730.0,1050.0,0.6,29 123 744,64.0,61.8,66.2,0.587,141.929
Канада,9984670.0,9984670.0,8965590.0,891163.0,344080.0,8.9,39 742 430,82.7,80.5,84.9,0.935,2472.227
Катар,11586.0,11586.0,11490.0,0.0,0.0,0.0,2 965 952,82.5,81.8,83.5,0.875,337.521
Кения,580367.0,580367.0,569140.0,11227.0,4335.0,1.9,56 432 944,63.8,61.6,66.1,0.601,365.854
Кипр,9251.0,9251.0,9240.0,10.0,4.0,0.1,923 272,81.8,79.8,83.8,0.907,54.104
Кирибати,811.0,811.0,810.0,0.0,0.0,0.0,118 000,66.6,64.7,68.3,0.628,0.46
Китай,9706961.0,9706961.0,9424702.9,270550.0,104460.0,2.8,1 409 670 000,78.0,75.2,81.0,0.788,35291.015
Колумбия,1141748.0,1141748.0,1109500.0,100210.0,38691.0,8.8,52 886 363,77.9,75.2,80.6,0.758,1041.705
Коста-Рика,51100.0,51100.0,51060.0,40.0,20.0,0.1,4 953 199,81.0,78.4,83.6,0.806,152.141
Кувейт,17818.0,17818.0,17820.0,0.0,0.0,0.0,4 207 000,80.6,79.4,82.0,0.847,264.301
Лаос,236800.0,236800.0,230800.0,6000.0,2000.0,2.5,7 123 205,69.2,67.0,71.5,0.62,78.713
Латвия,64559.0,64559.0,62230.0,2340.0,903.0,3.6,1 862 700,76.3,71.8,80.6,0.879,78.421
Лесото,30355.0,30355.0,30360.0,0.0,0.0,0.0,2 007 201,57.8,55.0,60.4,0.521,6.983
Либерия,111369.0,111369.0,96320.0,15049.0,5810.0,13.5,5 248 621,62.3,61.0,63.6,0.487,10.468
Ливия,1759540.0,1759540.0,1759540.0,0.0,0.0,0.0,6 777 000,71.1,69.6,72.7,0.746,182.897
Литва,65300.0,65300.0,62620.0,2620.0,1010.0,4.0,2 891 215,76.2,71.4,80.8,0.879,144.585
Маврикий,2040.0,2040.0,2030.0,10.0,4.0,0.5,1 261 208,75.1,72.1,78.3,0.796,40.468
Малави,118484.0,118484.0,94280.0,24404.0,9422.0,20.6,21 655 286,67.6,64.3,70.8,0.508,40.029
Мали,1240192.0,1240192.0,1220190.0,20002.0,7723.0,1.6,24 478 595,60.7,59.3,62.2,0.41,65.413
Мальдивы,300.0,300.0,300.0,0.0,0.0,0.0,402 071,81.3,79.9,83.0,0.762,15.124
Мальта,316.0,316.0,320.0,0.0,0.0,0.0,493 559,83.5,81.5,85.4,0.915,36.87
Марокко,446550.0,446550.0,446300.0,250.0,97.0,0.1,38 081 173,75.5,73.3,77.8,0.698,409.073
Мексика,1964375.0,1964375.0,1943950.0,20430.0,7888.0,1.0,130 861 007,75.3,72.4,78.0,0.781,3434.224
Мозамбик,801590.0,801590.0,786380.0,13000.0,5000.0,1.6,34 631 766,63.8,60.5,66.7,0.461,57.466
Монголия,1564110.0,1564110.0,1557506.8,10560.0,4077.0,0.7,3 457 548,72.0,67.5,76.7,0.741,58.58
Мьянма,676578.0,676578.0,652670.0,23070.0,8907.0,3.4,54 500 091,67.1,64.0,70.4,0.608,283.572
Намибия,825615.0,825615.0,823290.0,2425.0,936.0,0.3,3 022 401,67.5,63.5,71.5,0.61,32.302
Науру,21.0,21.0,20.0,0.0,0.0,0.0,11 086,62.3,60.4,64.2,0.696,0.141
Непал,147181.0,147181.0,143350.0,3830.0,1480.0,2.6,29 651 054,70.6,69.1,72.1,0.601,159.139
Нигер,1267000.0,1267000.0,1266700.0,300.0,100.0,0.0,27 032 412,61.4,60.5,62.4,0.394,47.024
Нигерия,923768.0,923768.0,910770.0,13000.0,5000.0,1.4,232 679 478,54.6,54.3,54.9,0.548,1443.708
Никарагуа,130373.0,130373.0,120340.0,10380.0,4008.0,8.0,6 803 886,75.1,72.5,77.6,0.669,54.89
Норвегия,323802.0,323802.0,364285.0,19520.0,7537.0,5.1,5 550 203,83.5,81.9,85.0,0.966,461.107
Оман,309500.0,309500.0,309500.0,0.0,0.0,0.0,5 252 608,80.2,78.7,82.0,0.819,207.604
